"Schema","Schema.URL","Schema.ERD.URL","Table","Table.URL","Column.name","Data.type","Default.value","Value.constraint","Default.constraint","Identity","Nullable","Description"
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/as_core/course_main.html","is_locale_enforced","char(1)","","",,"false","true","Values:Y/N: If Y then the locale will be forced to locale regardless of what the user's personal preferences have set for their locale"
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/stats/course_main.html","fee","numeric(11,2)","0","",,"false","true",""
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/stats/course_main.html","enroll_access_code","nvarchar(50)","","",,"false","true","This is the access code for students to use when enrolling to the course."
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/as_core/course_main.html","batch_uid","nvarchar(256)","","",,"false","true","The unique id for the course. For internally created courses it is the same as course_id but for SIS-sourced courses it is set by the SIS feed"
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/stats/course_main.html","duration","char(1)","'C'","course_main_duration_ck
                   C
                                  
                   R
                                  
                   D
                                  
                   T",,"false","false","This is to indicate if the duration of the course availability is continuous, date range, x days from enrollment, or term-dictated.
        C = Continuous
        R = Date Range
        D = x days from enrollment
        T = term-dictated (the associated term's duration controls this course's duration)"
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/stats/course_main.html","banner_alt","nvarchar(255)","","",,"false","true","This is the ALT text for the course banner image."
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/as_core/course_main.html","course_desc","ntext","","",,"false","true","This is the description of the course."
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/as_core/course_main.html","buttonstyles_pk1","id","","",,"false","true","This is a foreign key referencing the primary key of the [AS_CORE].buttonstyles table."
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/as_core/course_main.html","service_level","char(1)","'F'","course_main_srvc_lvl_ck
                   F
                                  
                   C
                                  
                   R
                                  
                   T
                                  
                   S
                                  
                   L",,"false","false","This is the service_level set for the course.
        F = Full/Free Course
        C = Community (Organization)
        R = Registered Course
        T = Test Drive
        S = System
        L = System"
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/stats/course_main.html","days_of_use","numeric(6,0)","","",,"false","true","This is the number of days that the course will be available after the enrollment."
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/stats/course_main.html","row_status","numeric(1,0)","0","",,"false","true","Row status: 0=enabled, 1=undefined, 2=disabled."
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/stats/course_main.html","batch_uid","nvarchar(256)","","",,"false","true","The unique id for the course.  For internally created courses it is the same as course_id but for SIS-sourced courses it is set by the SIS feed"
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/as_core/course_main.html","start_date","datetime","","",,"false","true","This is the datetime that the course starts to be available to access."
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/as_core/course_main.html","background_color","varchar(20)","","",,"false","true","This is the background color that is set for the Course Menu."
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/stats/course_main.html","allow_observer_ind","char(1)","'N'","indicator49
                   Y
                                  
                   N",,"false","false","This is the flag that indicates if observers are allowed for this course."
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/stats/course_main.html","banner_url","nvarchar(255)","","",,"false","true","This is the URL where the course banner image is stored at."
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/as_core/course_main.html","row_status","numeric(1,0)","0","",,"false","true","Row status: 0=enabled, 1=undefined, 2=disabled."
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/as_core/course_main.html","enroll_option","char(1)","'I'","enroll_option_enum
                   S
                                  
                   I
                                  
                   E",,"false","true","This is the enrollment method that is set for the course.
        S = Self Enrollment
        I = Instructor/ System Administrator
        E = Email Enrollment"
